Configure Soot Confluence 1,Time to perform Confluence 1,Configure Soot Confluence 2,Time to perform Confluence 2,Configure Soot OA Inter,Time to perform OA Inter,Configure Soot DFP left-right,Configure Soot DFP right-left,Time to perform DFP left-right,Time to perform DFP right-left,Configure Soot PDG left-right,Configure Soot PDG right-left,Time to perform PDG left-right,Time to perform PDG right-left
1.10600,0.30300,0.40200,0.75000,1.19100,1.26800,20.96500,4.83400,10.98200,0.38200,20.66800,5.55800,7.16400,0.49600
1.16800,0.32100,0.40300,0.68200,1.27500,1.36400,3.25200,5.75700,3.52000,0.37200,2.73800,7.03800,1.73300,0.44500
1.19500,1.12500,0.39300,0.00800,1.29600,1.42400,3.39100,6.77500,2.28100,0.42800,3.55500,5.80800,1.18600,0.46600
5.74000,0.36300,3.88900,0.04200,5.56600,5.62900,1.31300,0.69200,1.22800,1.06900,1.29800,1.23100,1.10600,1.25800
7.12200,4.42800,4.48600,1.58000,5.58000,5.82500,1.28400,1.23400,1.29900,1.19200,1.30700,1.21500,1.18000,1.31900
2.95400,1.74500,1.78300,1.56500,3.48900,3.83300,2.10500,5.60000,4.31300,0.84000,1.87400,5.82900,1.32800,0.66800
5.71000,11.32400,4.59800,9.68600,6.02100,7.54900,2.36700,5.75900,4.62800,0.84100,2.22100,6.47500,2.13500,1.07500
5.45600,27.54500,3.90000,26.11000,5.72100,6.77100,1.21800,5.47100,1.58600,0.45500,1.21300,5.61900,1.05800,0.38200
5.15400,0.89900,4.10800,3.73600,5.93000,6.05500,1.21900,5.89400,1.56800,1.90100,1.20000,5.80500,1.05200,0.70600
6.54500,4.24400,4.09300,0.96000,6.10100,6.28800,1.22600,3.24400,3.43600,1.37500,1.20500,2.92500,1.35400,0.71300
2.98700,0.95100,1.70700,0.58700,3.52000,4.03200,1.21600,2.92100,3.65600,0.82400,1.19600,2.95000,1.40300,0.67600
6.79300,19.76700,4.03800,22.05500,6.08400,6.70500,19.38800,5.42300,38.42200,2.94800,18.77900,5.56700,3.16500,1.00500
4.63100,1.56800,4.86400,0.44000,5.59100,5.66700,18.64100,7.08200,5.98600,2.15100,17.32000,5.83000,3.22100,0.97100
4.68300,1.04000,3.95100,0.49200,4.72900,5.03300,2.15900,5.60500,19.37300,4.87300,2.00900,6.45600,1.87800,1.00600
5.67300,1.71800,5.07100,0.46500,5.68000,5.75700,1.74600,5.51100,82.87800,2.38700,2.11100,5.76500,3.26200,1.04800
6.53600,689.62700,3.91300,286.56300,7.05800,26.36000,2.02400,1.03400,6.02700,1.06600,1.87600,1.02600,3.25400,1.04700
5.81500,37.37200,4.37900,0.98400,6.08700,6.75900,1.33800,1.04600,4.80800,1.09400,2.21200,1.03300,5.16500,1.00700
6.11300,1.30200,3.99500,0.65500,4.76400,4.89000,1.19500,3.05500,1.54800,0.47900,1.18600,3.52100,0.92300,0.94500
5.87500,2.33500,4.19300,0.02600,6.12800,7.11300,1.18900,3.56200,1.53700,1.04600,1.16400,2.97900,0.88700,0.46700
4.93500,4.08000,5.81300,0.03600,4.95400,6.84800,1.08600,1.28000,0.74200,0.68700,1.05100,1.23800,0.95600,0.87800
6.01200,3.49000,4.79500,0.04500,5.65800,6.38400,1.06600,1.25100,0.74700,0.67300,1.07000,1.31300,0.94400,0.91000
4.76300,0.38200,3.93800,0.04000,4.86400,4.93000,1.34400,1.81600,1.43600,0.70800,1.28600,1.94000,1.07200,0.84400
1.08800,1.15400,0.39100,0.19900,0.74500,1.02300,1.41000,1.94500,1.22800,1.16500,1.33200,1.99700,0.98500,0.77800
6.65300,0.80100,4.18800,0.19400,6.71500,6.88100,1.28600,0.96100,0.72000,0.73000,1.25400,0.97900,0.82000,0.73200
5.74900,0.34600,4.08300,2.72200,5.98500,6.04800,1.29800,0.95700,0.67800,0.65700,1.19900,0.98800,0.80200,0.77300
2.02600,1.61000,2.25100,0.60400,2.05300,2.13500,1.35900,1.05000,5.01600,0.28700,1.33600,1.02700,3.96100,0.34500
5.93000,4.10500,4.13800,1.52500,7.38700,8.34800,1.20900,1.04700,5.11600,0.30000,1.30700,1.05300,4.10400,0.52900
4.99500,4.00400,4.12400,1.90100,5.79600,6.37000,1.42000,1.47200,1.16600,0.76000,1.35100,1.44800,1.40400,0.98500
1.10000,1.22400,0.28000,0.33800,1.16000,1.30200,1.39200,1.44200,1.20100,0.78700,1.39400,1.48000,1.45700,0.98700
3.04800,0.73800,1.29200,0.18300,2.20600,2.40300,1.12500,1.56500,4.39700,1.81200,1.34200,1.51600,3.89400,0.98400
1.14900,0.69000,0.52200,0.10900,1.33000,1.45300,1.30400,1.58200,2.97000,2.49100,1.31200,1.52600,3.95000,0.92900
1.95600,1.27000,1.06600,0.31000,2.07000,2.18000,1.03900,1.38000,2.58200,1.69500,1.27100,1.27800,1.36000,0.91800
0.97900,0.69200,0.27500,0.06000,1.07100,1.18700,1.25000,1.40300,2.85700,2.25100,1.26300,1.29700,1.43400,0.91600
1.01700,0.26800,0.35500,0.00600,1.11500,1.19300,1.25200,1.33300,3.61700,1.67600,1.27300,1.28800,1.79500,0.86700
1.50000,0.91400,0.65300,0.07800,1.55900,1.66800,1.23900,1.41000,3.78600,2.29600,1.30400,1.27400,1.79500,0.95100
1.56200,1.88700,0.82000,2.70100,1.59800,1.72600,1.32700,1.33200,7.13300,0.33300,1.35900,1.26300,1.30900,0.34700
1.38500,2.26800,0.69100,2.00000,1.38600,1.51300,1.39300,1.35000,6.77000,1.16100,1.30100,1.30000,1.32500,0.82300
1.33100,2.17600,0.67000,1.85800,1.41300,1.53700,1.37800,1.37800,1.05500,0.94400,1.40000,1.42900,1.16100,0.90700
1.31100,0.32000,0.54200,1.45600,1.38800,1.48000,1.37600,1.42700,1.17800,0.95600,1.40900,1.40100,1.14800,0.89100
1.42700,1.19600,0.54900,0.31400,1.50000,1.60900,1.31200,0.98600,1.64000,0.64400,1.30100,0.99200,1.10100,0.64800
1.00400,0.84400,0.30200,0.00600,1.06400,1.22500,1.27100,0.99700,1.66000,0.28900,1.34700,0.97400,1.16400,0.33700
